nombre,dolaresm2tot,geometry
Villa Bosch,1500,"c(-58.573121, -34.592002)"
Caseros,1666.67,"c(-58.575144, -34.592556)"
Caseros,1500,"c(-58.572445, -34.593661)"
Ciudadela,2752.29,"c(-58.540995, -34.639477)"
Ciudadela,2752.29,"c(-58.540995, -34.639477)"
Villa Bosch,1402.44,"c(-58.572847, -34.592059)"
Ciudadela,3269.23,"c(-58.550104, -34.634458)"
Caseros,1677.85,"c(-58.560173, -34.598386)"
Caseros,1475,"c(-58.575163, -34.596804)"
Ciudad Jardín Lomas del Palomar,2160,"c(-58.593884, -34.596688)"
Ciudad Jardín Lomas del Palomar,2368.42,"c(-58.596179, -34.59187)"
Ciudad Jardín Lomas del Palomar,2460,"c(-58.593884, -34.596688)"
Caseros,1483.33,"c(-58.558397, -34.598555)"
Ciudadela,1500,"c(-58.539327, -34.642376)"
Caseros,3142.86,"c(-58.566133, -34.602237)"
Caseros,1311.11,"c(-58.559045, -34.612165)"
Caseros,1481.48,"c(-58.567774, -34.612346)"
Santos Lugares,4166.67,"c(-58.552121, -34.603901)"
Caseros,1884.62,"c(-58.568347, -34.620191)"
Caseros,1785.71,"c(-58.563463, -34.609483)"
Caseros,1363.64,"c(-58.563914, -34.608144)"
Caseros,1524.39,"c(-58.557383, -34.599418)"
Caseros,1351.35,"c(-58.564315, -34.610441)"
Ciudadela,1688.31,"c(-58.546718, -34.637284)"
Ciudad Jardín Lomas del Palomar,2718.18,"c(-58.5994, -34.591762)"
Caseros,2133.93,"c(-58.570797, -34.59633)"
Caseros,1471.59,"c(-58.570703, -34.601469)"
Caseros,1399,"c(-58.573204, -34.59694)"
Villa Bosch,1825,"c(-58.572473, -34.587207)"
Caseros,2133.93,"c(-58.570797, -34.59633)"
Caseros,1322.27,"c(-58.565161, -34.599521)"
Ciudad Jardín Lomas del Palomar,2250,"c(-58.594047, -34.594143)"
Martín Coronado,1590.91,"c(-58.601026, -34.585323)"
Caseros,1875,"c(-58.565625, -34.602188)"
Santos Lugares,2237.5,"c(-58.538784, -34.601474)"
Villa Bosch,1875,"c(-58.572819, -34.591966)"
Caseros,1770.19,"c(-58.563939, -34.606881)"
Martín Coronado,1590.91,"c(-58.601026, -34.585323)"
Caseros,1666.67,"c(-58.575144, -34.592556)"
Caseros,3166.67,"c(-58.559064, -34.609149)"
Caseros,1300,"c(-58.562975, -34.594141)"
Caseros,1351.35,"c(-58.562374, -34.6105)"
Ciudadela,3750,"c(-58.541207, -34.640848)"
Caseros,1375,"c(-58.578602, -34.613604)"
Ciudad Jardín Lomas del Palomar,2063.49,"c(-58.591639, -34.591951)"
Ciudad Jardín Lomas del Palomar,2437.5,"c(-58.593884, -34.596688)"
Ciudadela,2000,"c(-58.543295, -34.635298)"
Ciudad Jardín Lomas del Palomar,2407.41,"c(-58.589163, -34.602172)"
Ciudad Jardín Lomas del Palomar,2035.71,"c(-58.59292, -34.596344)"
Ciudad Jardín Lomas del Palomar,2081.08,"c(-58.585772, -34.600178)"
Ciudad Jardín Lomas del Palomar,2401.13,"c(-58.595634, -34.59295)"
Caseros,1399,"c(-58.573204, -34.59694)"
Caseros,1400,"c(-58.545064, -34.616604)"
Caseros,1300,"c(-58.565071, -34.602149)"
Caseros,1641.79,"c(-58.57375, -34.594095)"
Caseros,1333.33,"c(-58.56848, -34.599841)"
Caseros,1344.83,"c(-58.561624, -34.611128)"
Ciudad Jardín Lomas del Palomar,2972.22,"c(-58.59182, -34.600589)"
Villa Bosch,1406.25,"c(-58.586921, -34.581377)"
Santos Lugares,2054.79,"c(-58.550606, -34.593783)"
